2024-04-27 18:35:27,990 INFO    StreamThr :73221 [internal.py:wandb_internal():86] W&B internal server running at pid: 73221, started at: 2024-04-27 18:35:27.988920
2024-04-27 18:35:27,991 DEBUG   HandlerThread:73221 [handler.py:handle_request():146] handle_request: status
2024-04-27 18:35:27,992 INFO    WriterThread:73221 [datastore.py:open_for_write():87] open: /Users/ayotomiwasalau/Documents/data-tools-project/udacity/mlops/ml-pipeline/ml-pipe/preprocess/wandb/run-20240427_183527-zfokux4g/run-zfokux4g.wandb
2024-04-27 18:35:27,994 DEBUG   SenderThread:73221 [sender.py:send():379] send: header
2024-04-27 18:35:28,015 DEBUG   SenderThread:73221 [sender.py:send():379] send: run
2024-04-27 18:35:28,831 INFO    SenderThread:73221 [dir_watcher.py:__init__():211] watching files in: /Users/ayotomiwasalau/Documents/data-tools-project/udacity/mlops/ml-pipeline/ml-pipe/preprocess/wandb/run-20240427_183527-zfokux4g/files
2024-04-27 18:35:28,831 INFO    SenderThread:73221 [sender.py:_start_run_threads():1124] run started: zfokux4g with start time 1714239327.989671
2024-04-27 18:35:28,842 DEBUG   HandlerThread:73221 [handler.py:handle_request():146] handle_request: check_version
2024-04-27 18:35:28,842 DEBUG   SenderThread:73221 [sender.py:send_request():406] send_request: check_version
2024-04-27 18:35:29,712 DEBUG   HandlerThread:73221 [handler.py:handle_request():146] handle_request: run_start
2024-04-27 18:35:29,717 DEBUG   HandlerThread:73221 [system_info.py:__init__():26] System info init
2024-04-27 18:35:29,718 DEBUG   HandlerThread:73221 [system_info.py:__init__():41] System info init done
2024-04-27 18:35:29,718 INFO    HandlerThread:73221 [system_monitor.py:start():194] Starting system monitor
2024-04-27 18:35:29,718 INFO    SystemMonitor:73221 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-27 18:35:29,718 INFO    HandlerThread:73221 [system_monitor.py:probe():214] Collecting system info
2024-04-27 18:35:29,719 INFO    SystemMonitor:73221 [interfaces.py:start():190] Started cpu monitoring
2024-04-27 18:35:29,719 DEBUG   HandlerThread:73221 [system_info.py:probe():150] Probing system
2024-04-27 18:35:29,719 INFO    SystemMonitor:73221 [interfaces.py:start():190] Started disk monitoring
2024-04-27 18:35:29,723 INFO    SystemMonitor:73221 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-27 18:35:29,724 INFO    SystemMonitor:73221 [interfaces.py:start():190] Started memory monitoring
2024-04-27 18:35:29,724 INFO    SystemMonitor:73221 [interfaces.py:start():190] Started network monitoring
2024-04-27 18:35:29,729 DEBUG   HandlerThread:73221 [system_info.py:_probe_git():135] Probing git
2024-04-27 18:35:29,753 DEBUG   HandlerThread:73221 [system_info.py:_probe_git():143] Probing git done
2024-04-27 18:35:29,753 DEBUG   HandlerThread:73221 [system_info.py:probe():198] Probing system done
