2024-04-27 18:35:08,258 INFO    StreamThr :73140 [internal.py:wandb_internal():86] W&B internal server running at pid: 73140, started at: 2024-04-27 18:35:08.255962
2024-04-27 18:35:08,259 DEBUG   HandlerThread:73140 [handler.py:handle_request():146] handle_request: status
2024-04-27 18:35:08,260 INFO    WriterThread:73140 [datastore.py:open_for_write():87] open: /Users/ayotomiwasalau/Documents/data-tools-project/udacity/mlops/ml-pipeline/ml-pipe/download/wandb/run-20240427_183508-rmpnlhl5/run-rmpnlhl5.wandb
2024-04-27 18:35:08,263 DEBUG   SenderThread:73140 [sender.py:send():379] send: header
2024-04-27 18:35:08,281 DEBUG   SenderThread:73140 [sender.py:send():379] send: run
2024-04-27 18:35:09,148 INFO    SenderThread:73140 [dir_watcher.py:__init__():211] watching files in: /Users/ayotomiwasalau/Documents/data-tools-project/udacity/mlops/ml-pipeline/ml-pipe/download/wandb/run-20240427_183508-rmpnlhl5/files
2024-04-27 18:35:09,148 INFO    SenderThread:73140 [sender.py:_start_run_threads():1124] run started: rmpnlhl5 with start time 1714239308.257209
2024-04-27 18:35:09,154 DEBUG   HandlerThread:73140 [handler.py:handle_request():146] handle_request: check_version
2024-04-27 18:35:09,154 DEBUG   SenderThread:73140 [sender.py:send_request():406] send_request: check_version
2024-04-27 18:35:10,028 DEBUG   HandlerThread:73140 [handler.py:handle_request():146] handle_request: run_start
2024-04-27 18:35:10,034 DEBUG   HandlerThread:73140 [system_info.py:__init__():26] System info init
2024-04-27 18:35:10,034 DEBUG   HandlerThread:73140 [system_info.py:__init__():41] System info init done
2024-04-27 18:35:10,034 INFO    HandlerThread:73140 [system_monitor.py:start():194] Starting system monitor
2024-04-27 18:35:10,034 INFO    SystemMonitor:73140 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-27 18:35:10,035 INFO    HandlerThread:73140 [system_monitor.py:probe():214] Collecting system info
2024-04-27 18:35:10,036 INFO    SystemMonitor:73140 [interfaces.py:start():190] Started cpu monitoring
2024-04-27 18:35:10,036 DEBUG   HandlerThread:73140 [system_info.py:probe():150] Probing system
2024-04-27 18:35:10,036 INFO    SystemMonitor:73140 [interfaces.py:start():190] Started disk monitoring
2024-04-27 18:35:10,036 INFO    SystemMonitor:73140 [interfaces.py:start():190] Started gpuapple monitoring
